index_number,channel,analog_proc,azi,ele,bit,digital_proc
0,1,RX81,-98.44,0,,
1,2,RX81,-94.16,0,,
2,3,RX81,-89.88,0,,
3,4,RX81,-85.6,0,,
4,5,RX81,-81.32,0,,
5,6,RX81,-77.04,0,,
6,7,RX81,-72.76,0,,
7,8,RX81,-68.48,0,,
8,9,RX81,-64.2,0,,
9,10,RX81,-59.92,0,,
10,11,RX81,-55.64,0,,
11,12,RX81,-51.36,0,,
12,13,RX81,-47.08,0,,
13,14,RX81,-42.8,0,,
14,15,RX81,-38.52,0,,
15,16,RX81,-34.24,0,,
16,17,RX81,-29.96,0,,
17,18,RX81,-25.68,0,,
18,19,RX81,-21.4,0,,
19,20,RX81,-17.12,0,,
20,21,RX81,-12.84,0,,
21,22,RX81,-8.56,0,,
22,23,RX81,-4.28,0,,
23,24,RX81,0,0,,
24,1,RX82,4.28,0,,
25,2,RX82,8.56,0,,
26,3,RX82,12.84,0,,
27,4,RX82,17.12,0,,
28,5,RX82,21.4,0,,
29,6,RX82,25.68,0,,
30,7,RX82,29.96,0,,
31,8,RX82,34.24,0,,
32,9,RX82,38.52,0,,
33,10,RX82,42.8,0,,
34,11,RX82,47.08,0,,
35,12,RX82,51.36,0,,
36,13,RX82,55.64,0,,
37,14,RX82,59.92,0,,
38,15,RX82,64.2,0,,
39,16,RX82,68.48,0,,
40,17,RX82,72.76,0,,
41,18,RX82,77.04,0,,
42,19,RX82,81.32,0,,
43,20,RX82,85.6,0,,
44,21,RX82,89.88,0,,
45,22,RX82,94.16,0,,
46,23,RX82,98.44,0,,
